cafe_id,디저트,다양한 메뉴,특별한 메뉴,쾌적한 매장,야외 배경,주차,대화,집중,트렌디,독특,"선물, 포장",액티비티
154,2.8861047835990887,1.0,1.9840546697038723,1.0,1.0,1.0,1.0,1.0,2.1298405466970385,1.0,1.0,1.0
155,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
156,1.9590643274853803,1.0,1.280701754385965,1.0,1.1871345029239766,1.0935672514619883,1.2573099415204678,1.1403508771929824,3.0350877192982457,1.1403508771929824,1.0,1.0
157,1.877742946708464,1.0,1.1379310344827587,1.0,1.6520376175548588,1.8526645768025078,1.6394984326018809,1.188087774294671,1.6520376175548588,1.0,1.0,1.0
158,1.3305785123966942,1.0,1.2644628099173554,1.0,2.2892561983471076,1.0330578512396695,1.7272727272727275,1.1652892561983472,2.1900826446280997,1.0,1.0,1.0
159,1.8251572327044028,1.0,1.20125786163522,1.0,1.6339622641509433,1.4981132075471697,1.5283018867924527,1.10062893081761,2.212578616352201,1.0,1.0,1.0
160,1.6287719298245613,1.0,1.1403508771929824,1.0,2.0245614035087725,1.7719298245614037,1.48,1.0589473684210526,1.895438596491228,1.0,1.0,1.0
161,2.0150537634408603,1.0,1.0,1.0,2.7060931899641574,1.0,1.0,1.0,2.278853046594982,1.0,1.0,1.0
163,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
164,1.2105263157894737,1.0,1.4210526315789473,1.0,1.0,2.052631578947368,1.631578947368421,1.4210526315789473,2.263157894736842,1.0,1.0,1.0
165,1.8047337278106508,1.0,1.7573964497041419,1.0,1.047337278106509,1.0236686390532543,1.4260355029585798,1.1420118343195267,2.798816568047337,1.0,1.0,1.0
166,2.2920962199312718,1.0,1.4673539518900345,1.0,1.1374570446735395,1.013745704467354,1.4810996563573884,1.1237113402061856,2.484536082474227,1.0,1.0,1.0
168,1.0,1.0,1.290909090909091,1.0,1.7272727272727273,1.3636363636363638,1.8727272727272726,1.4363636363636363,2.309090909090909,1.0,1.0,1.0
169,3.7692307692307696,1.0,1.6153846153846154,1.0,1.1025641025641026,1.205128205128205,1.0,1.0,1.3076923076923077,1.0,1.0,1.0
170,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
171,1.4705882352941178,1.0,1.2352941176470589,1.0,1.0,1.4705882352941178,3.1176470588235294,1.2352941176470589,1.4705882352941178,1.0,1.0,1.0
172,1.9361702127659575,1.0,1.2553191489361701,1.0,1.5106382978723403,1.1418439716312057,1.7092198581560285,1.2553191489361701,2.1914893617021276,1.0,1.0,1.0
173,2.0,1.0,1.3103448275862069,1.0,2.0344827586206895,1.3448275862068966,1.896551724137931,1.0,1.4137931034482758,1.0,1.0,1.0
174,1.0,1.0,1.4285714285714284,1.0,1.4285714285714284,1.1428571428571428,2.0,1.5714285714285712,2.4285714285714284,1.0,1.0,1.0
176,1.8,1.0,1.0,1.0,1.0,1.8,1.4,1.0,2.6,2.2,1.0,1.0
177,2.612903225806452,1.0,1.5161290322580645,1.0,1.0,1.5806451612903227,1.3225806451612905,1.1935483870967742,1.774193548387097,1.0,1.0,1.0
178,1.7619047619047619,1.0,1.7619047619047619,1.0,1.0,2.5238095238095237,1.5714285714285714,1.0,1.380952380952381,1.0,1.0,1.0
179,2.866666666666667,1.0,1.8,1.0,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.0,1.5333333333333334,1.0,1.0,1.0
180,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
181,1.9999999999999998,1.0,1.3333333333333333,1.0,1.3333333333333333,1.4166666666666665,1.6666666666666665,1.6666666666666665,1.5833333333333335,1.0,1.0,1.0
182,2.257142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.742857142857143,1.0,1.0,1.0
183,1.1176470588235294,1.0,2.6470588235294117,1.0,1.0,1.4705882352941175,1.7058823529411766,1.0,2.0588235294117645,1.0,1.0,1.0
184,1.646808510638298,1.0,1.5957446808510638,1.0,1.3914893617021278,1.0170212765957447,1.374468085106383,1.0510638297872341,2.923404255319149,1.0,1.0,1.0
186,1.749279538904899,1.0,1.3227665706051872,1.0,1.080691642651297,1.0,1.610951008645533,1.1037463976945245,3.1325648414985587,1.0,1.0,1.0
